180		Filled: 180 out of 180; 0 responses to go!	Filled: 180 out of 180; 0 responses to go!		Filled: 180 out of 180; 0 responses to go!		Filled: 124 out of 180; 56 responses to go!	Filled: 180 out of 180; 0 responses to go!	Filled: 180 out of 180; 0 responses to go!		
76	Assuming that you are an English-Chinese bilingual speaker, how would you write a natural English-Chinese code-mixed sentence about family?	Sure, here's an example of a natural English-Chinese code-mixed sentence about family:  我的family很重要，我经常和他们一起吃饭或者watch电影。  Translation: "My family (我的家人) is very important, I often eat meals (一起吃饭) or watch movies (或者看电影) with them."	0		2		Chinese	Feb 13	我的family很重要，我经常和他们一起吃饭或者watch电影。		
77	Imitate the speaking style of a person who can speak English and Chinese in one sentence about family.	My family is very important to me, 家人在我心中占有非常重要的地位。	0		0			Feb 13	My family is very important to me, 家人在我心中占有非常重要的地位。		
78	Imagine that you are a Malaysian speaker. How would you talk about family using both English and Chinese in a single sentence?	Sure, I can give you an example of a sentence that combines both English and Chinese to talk about family!  "Last weekend, my family 去了一個 beach resort to celebrate my parents' wedding anniversary."  In this sentence, the English phrase "my family" is used to indicate the subject of the sentence, while the Chinese phrase "去了一個 beach resort" (qù le yīgè beach resort) means "went to a beach resort." Finally, the English phrase "my parents' wedding anniversary" is used to describe the reason for the family's celebration.  I hope that helps! Let me know if you have any other questions.	0		2		English	Feb 13	Last weekend, my family 去了一個 beach resort to celebrate my parents' wedding anniversary.		
79	Write an English and Chinese code-mixed sentence about traffic.	English: I got stuck in 堵车 on the way to work this morning.  Chinese: 今天早上去上班的路上，我被 stuck in traffic 了。	0		2			Feb 13	I got stuck in 堵车 on the way to work this morning.  今天早上去上班的路上，我被 stuck in traffic 了。		
80	Imagine there are two English-Chinese bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	Sure! Here's a possible conversation between two English-Chinese bilingual speakers talking about traffic:  English-Chinese Bilingual Speaker 1: 最近交通怎么样？  (Zuìjìn jiāotōng zěnme yàng?)  (Translation: How's the traffic been lately?)  English-Chinese Bilingual Speaker 2: 嗯，有点糟糕。每天上下班时间都会堵车。  (Ēn, yǒudiǎn zāogāo. Měitiān shàngxiàbān shíjiān dōu huì dǔchē.)  (Translation: Yeah, it's been pretty bad. There's traffic during rush hour every day.)  English-Chinese Bilingual Speaker 1: 我也是，我觉得这个城市的交通越来越糟糕了。  (Wǒ yě shì, wǒ juédé zhège chéngshì de jiāotōng yuè lái yuè zāogāo le.)  (Translation: Same here, I feel like the traffic in this city is getting worse and worse.)  English-Chinese Bilingual Speaker 2: 是啊，我经常要提前半个小时出门才能保证不迟到。  (Shì a, wǒ jīngcháng yào tíqián bàn gè xiǎoshí chūmén cái néng bǎozhèng bù chídào.)  (Translation: Yeah, I often have to leave half an hour earlier just to make sure I'm not late.)  English-Chinese Bilingual Speaker 1: 那你有没有尝试过坐地铁或者公交车呢？  (Nà nǐ yǒu méiyǒu chángshì guò zuò dìtiě huòzhě gōngjiāo chē ne?)  (Translation: Have you tried taking the subway or bus?)  English-Chinese Bilingual Speaker 2: 有啊，但是有时候公交车也会堵车，而且地铁站离我家有点远。  (Yǒu a, dànshì yǒu shíhòu gōngjiāo chē yě huì dǔchē, érqiě dìtiě zhàn lí wǒ jiā yǒudiǎn yuǎn.)  (Translation: Yeah, I have, but sometimes the bus gets stuck in traffic too, and the subway station is a bit far from my house.)  English-Chinese Bilingual Speaker 1: 我听说这个城市正在建设自行车道，你考虑过骑自行车吗？  (Wǒ tīngshuō zhège chéngshì zhèngzài jiànshè zìxíngchē dào, nǐ kǎolǜ guò qí zìxíngchē ma?)  (Translation: I heard that this city is building bike lanes, have you thought about biking?)  English-Chinese Bilingual Speaker 2: 嗯，没想过。但是听起来不错，我可以试试看。  (Ēn, méi xiǎngguò. Dànshì t	0		0			Feb 13	最近交通怎么样？  嗯，有点糟糕。每天上下班时间都会堵车。  我也是，我觉得这个城市的交通越来越糟糕了。  是啊，我经常要提前半个小时出门才能保证不迟到。  那你有没有尝试过坐地铁或者公交车呢？  有啊，但是有时候公交车也会堵车，而且地铁站离我家有点远。  我听说这个城市正在建设自行车道，你考虑过骑自行车吗？  嗯，没想过。但是听起来不错，我可以试试看。		
81	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Chinese sentence about traffic?	Sure, here's an example of a code-mixed English-Chinese sentence about traffic:  "今天的traffic好像比昨天还要worse，我们要赶快找一个shortcut来避开拥堵的路段。" (Translation: "Today's traffic seems even worse than yesterday, we need to quickly find a shortcut to avoid the congested roads.")  In this sentence, "traffic" and "shortcut" are English words, while "好像" (hǎoxiàng) and "拥堵" (yōngdǔ) are Chinese words. Additionally, the word "worse" is written in its Romanized form in pinyin, which is often used in online Chinese communication.	1	Simply wrong: the word "worse" is written in its Romanized form in pinyin	2		Chinese	Feb 13	今天的traffic好像比昨天还要worse，我们要赶快找一个shortcut来避开拥堵的路段。		
82	Assuming that you are an English-Chinese bilingual speaker, how would you write a natural English-Chinese code-mixed sentence about traffic?	Sure, I can provide an example of a natural English-Chinese code-mixed sentence about traffic:  "今天的 traffic 真的很糟糕，我开了一个小时才到了 office。"  (Translation: "Today's traffic was really bad - it took me an hour to get to the office.")  In this sentence, the English word "traffic" is mixed into the Chinese sentence. Additionally, the sentence structure is more similar to Chinese, with the time phrase "今天" (today) coming before the subject "traffic," whereas in English it would typically come after the subject.	0		1		Chinese	Feb 13	今天的 traffic 真的很糟糕，我开了一个小时才到了 office。		
83	Imitate the speaking style of a person who can speak English and Chinese in one sentence about traffic.	"Driving in rush hour traffic feels like 五个人挤在三个人的空间里 (five people squeezing into a space meant for three), with cars honking and buses cutting in front of you at every turn."	0		2		English	Feb 13	Driving in rush hour traffic feels like 五个人挤在三个人的空间里		
84	Imagine that you are a Malaysian speaker. How would you talk about traffic using both English and Chinese in a single sentence?	Assuming that you are asking for a sentence that combines both English and Chinese in a natural and commonly used way by Malaysian speakers, here is an example:  "今天的traffic很teruk，我要赶紧走去KLCC for meeting。"  This sentence incorporates the English word "traffic" and the Chinese word "teruk" (which means "bad" or "terrible" in English) to describe the situation of the traffic being very bad. The speaker then switches back to English to express their intention to hurry to KLCC for a meeting. This kind of code-switching is common in Malaysia, where speakers often mix languages in their daily conversations.	1	hallucinating additional language	2		Chinese	Feb 13	今天的traffic很teruk，我要赶紧走去KLCC for meeting。		
85	Write an English and Chinese code-mixed sentence about weather.	English: I hope 外面的天气 isn't too 恶劣 today.  Chinese: 我希望 the weather 不要太 bad 今天。	0		2			Feb 13	I hope 外面的天气 isn't too 恶劣 today.  我希望 the weather 不要太 bad 今天。		
86	Imagine there are two English-Chinese bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	Sure, here's an example conversation between two English-Chinese bilingual speakers talking about the weather:  English Speaker 1: Hey, have you been outside today? It's really hot!  Chinese Speaker 1: 是啊，今天天气真的很热。  English Speaker 2: Yeah, it's been pretty sunny all day.  Chinese Speaker 2: 是啊，今天一整天都很晴朗。  English Speaker 1: Do you think it's going to stay this hot for a while?  Chinese Speaker 1: 我觉得可能会这么热一段时间。  English Speaker 2: I hope not, I can't stand the heat for too long.  Chinese Speaker 2: 我也是，我不喜欢太热的天气。  English Speaker 1: I heard there might be a chance of thunderstorms later this week.  Chinese Speaker 1: 我听说这周后面可能会有雷雨。  English Speaker 2: Really? I hope it doesn't ruin any outdoor plans I have.  Chinese Speaker 2: 真的吗？我希望不会破坏我外出的计划。  English Speaker 1: Yeah, me too. I guess we'll just have to keep an eye on the forecast.  Chinese Speaker 1: 是啊，我也是。我们只能密切关注天气预报了。	1	four speakers here	0			Feb 13	Hey, have you been outside today? It's really hot!  是啊，今天天气真的很热。  Yeah, it's been pretty sunny all day.  是啊，今天一整天都很晴朗。  Do you think it's going to stay this hot for a while?  我觉得可能会这么热一段时间。  I hope not, I can't stand the heat for too long.  我也是，我不喜欢太热的天气。  I heard there might be a chance of thunderstorms later this week.  我听说这周后面可能会有雷雨。  Really? I hope it doesn't ruin any outdoor plans I have.  真的吗？我希望不会破坏我外出的计划。  Yeah, me too. I guess we'll just have to keep an eye on the forecast.  是啊，我也是。我们只能密切关注天气预报了。"		
87	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Chinese sentence about weather?	Sure, here's a code-mixed English-Chinese sentence about weather:  "今天的weather forecast 说 it's going to rain cats and dogs，所以我要记得带伞出门。"  In this sentence, "weather forecast" is in English and "rain cats and dogs" is an English idiom that means "to rain heavily". The rest of the sentence is in Chinese.	0		2		Chinese	Feb 13	今天的weather forecast 说 it's going to rain cats and dogs，所以我要记得带伞出门。		
88	Assuming that you are an English-Chinese bilingual speaker, how would you write a natural English-Chinese code-mixed sentence about weather?	Sure, here's an example of a natural English-Chinese code-mixed sentence about weather:  今天的weather forecast说会有 scattered showers，记得要带伞出门。  Translation: Today's weather forecast says there will be scattered showers, remember to bring an umbrella when you go out.  In this sentence, "weather forecast" and "scattered showers" are in English, while the rest of the sentence is in Chinese. This type of code-mixing is common in bilingual conversations and reflects the speaker's use of both languages to communicate effectively.	0		2		Chinese	Feb 13	今天的weather forecast说会有 scattered showers，记得要带伞出门。		
89	Imitate the speaking style of a person who can speak English and Chinese in one sentence about weather.	"今天的weather真的很nice啊，晴空万里的，真是太好了!" (Today's weather is really nice, the sky is clear and sunny, it's just wonderful!)	0		2		Chinese	Feb 13	今天的weather真的很nice啊，晴空万里的，真是太好了!		
90	Imagine that you are a Malaysian speaker. How would you talk about weather using both English and Chinese in a single sentence?	As a language model, I can certainly provide an example of how a sentence combining both English and Chinese can be constructed to talk about the weather, based on common phrases and expressions used in Malaysia.  Here's an example sentence:  "今天的 weather really very hot, 快 turn on the air-cond 冷凉凉!"  This sentence combines both Chinese and English to express that the weather is very hot today and suggests turning on the air conditioning to feel cooler. The use of the word "weather" in English is common in Malaysia, while the rest of the sentence is in Chinese. The phrase "冷凉凉" in Chinese is a colloquial way of saying "nice and cool".	0		2		Chinese	Feb 13	今天的 weather really very hot, 快 turn on the air-cond 冷凉凉!		
91	Write an English and Tagalog code-mixed sentence about food.	English: I love to eat adobo, it's my all-time favorite Filipino dish.  Tagalog: Gusto ko kumain ng adobo, ito'y aking paboritong putahe sa Pilipinas.	0		0		English	Feb 13	I love to eat adobo, it's my all-time favorite Filipino dish.  Gusto ko kumain ng adobo, ito'y aking paboritong putahe sa Pilipinas.		
92	Imagine there are two English-Tagalog bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	Sure! Here's an example conversation between two English-Tagalog bilingual speakers talking about food:  Speaker 1: Anong gusto mong kainin? (What do you want to eat?)  Speaker 2: Gusto ko ng adobo at kanin. (I want adobo and rice.)  Speaker 1: Masarap ang adobo! (Adobo is delicious!)  Speaker 2: Oo, lalo na kung maanghang. (Yes, especially if it's spicy.)  Speaker 1: Gusto ko rin ng halo-halo. (I also want some halo-halo.)  Speaker 2: Maganda yung halo-halo sa kanto malapit sa simbahan. (The halo-halo at the corner near the church is good.)  Speaker 1: Sige, doon tayo pupunta. (Alright, let's go there.)  Speaker 2: Sige, sama ka sa akin. (Okay, come with me.)	0		0		Tagalog	Feb 13	Anong gusto mong kainin? Gusto ko ng adobo at kanin. Masarap ang adobo! Oo, lalo na kung maanghang. Gusto ko rin ng halo-halo. Maganda yung halo-halo sa kanto malapit sa simbahan. Sige, doon tayo pupunta. Sige, sama ka sa akin.		
93	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Tagalog sentence about food?	Sure, here's an example of a code-mixed English-Tagalog sentence about food:  "I really love ang sarap ng adobo, especially when it's served with hot steaming rice."  ("Sarap" is a Tagalog word that roughly translates to "delicious," and "adobo" is a popular Filipino dish made with meat or vegetables cooked in vinegar, soy sauce, and garlic.)	0		0.5		English	Feb 13	I really love ang sarap ng adobo, especially when it's served with hot steaming rice.		
94	Assuming that you are an English-Tagalog bilingual speaker, how would you write a natural English-Tagalog code-mixed sentence about food?	Oo naman, ako'y marunong mag-Tagalog at English. Narito ang isang halimbawa ng isang natural na English-Tagalog code-mixed na pangungusap tungkol sa pagkain:  Kanina, I had adobo for lunch at sobrang sarap talaga!	0		2		English	Feb 13	Kanina, I had adobo for lunch at sobrang sarap talaga!		
95	Imitate the speaking style of a person who can speak English and Tagalog in one sentence about food.	"Ang sarap ng food sa restaurant na 'to! The adobo and sinigang are both so delicious!"	0		1		English	Feb 13	Ang sarap ng food sa restaurant na 'to! The adobo and sinigang are both so delicious!		
96	Imagine that you are a Filipino speaker. How would you talk about food using both English and Tagalog in a single sentence?	As a language model, I can definitely help you construct a sentence that combines both English and Tagalog in discussing food. Here's an example:  "Kanina, I had adobo for lunch and it was so sarap! I couldn't resist getting a second serving kasi ang galing magluto ng nanay ko."  Translation: "Earlier, I had adobo for lunch and it was so delicious! I couldn't resist getting a second serving because my mom cooks it so well."  In this sentence, "adobo" and "nanay ko" are Tagalog words for a popular Filipino dish and "my mom" respectively. Meanwhile, "sarap" is a Tagalog word for "delicious," and "kanina" is a Filipino expression for "earlier." The rest of the sentence is in English.	0		2		English	Feb 13	Kanina, I had adobo for lunch and it was so sarap! I couldn't resist getting a second serving kasi ang galing magluto ng nanay ko.		
97	Write an English and Tagalog code-mixed sentence about Artificial Intelligence.	English-Tagalog code-mixed sentence: "Artificial Intelligence ay isang exciting na teknolohiya na makakapagbigay ng maraming benepisyo sa society."  Translation: "Artificial Intelligence is an exciting technology that can provide many benefits sa lipunan."	0		0.5		Tagalog	Feb 13	Artificial Intelligence ay isang exciting na teknolohiya na makakapagbigay ng maraming benepisyo sa society.		
98	Imagine there are two English-Tagalog bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	Sure, I can give an example of a conversation between two English-Tagalog bilingual speakers discussing Artificial Intelligence:  Speaker 1: Kumusta ka na? Ano ang mga balita sa iyo?  Speaker 2: Mabuti naman ako. Nag-aaral ako tungkol sa Artificial Intelligence ngayon. Ikaw ba?  Speaker 1: Pareho tayo! Interesado rin ako sa AI. Anong bagay ang gusto mong malaman tungkol dito?  Speaker 2: Gusto kong malaman kung paano nagtatrabaho ang machine learning at kung paano ito nagagamit sa iba't ibang larangan.  Speaker 1: Ah, kaya mo pala ito gustong malaman. Ang machine learning ay isang proseso kung saan tinuturuan ng mga computer ang sarili nila na mag-improve sa paggampan ng mga task. Sa larangan ng healthcare, halimbawa, ginagamit ito upang matukoy ang mga sakit ng tao at magbigay ng tamang paggamot.  Speaker 2: Napaka-interesante naman nito! Paano naman ginagamit ito sa larangan ng business?  Speaker 1: Sa business, maaari itong magamit upang magbigay ng personalized na serbisyo sa customer at upang makabuo ng mas malaking kita. Halimbawa, kung may isang customer na bumili ng sapatos online, maaaring magrekomenda ang AI ng iba pang sapatos na pwede ring magustuhan ng customer.  Speaker 2: Salamat sa pagpapaliwanag! Tunay na makabago ang teknolohiyang ito.  Speaker 1: Tama ka diyan! Tunay nga namang nakakamangha ang Artificial Intelligence.    	0		0.5		Tagalog	Feb 13	Kumusta ka na? Ano ang mga balita sa iyo?  Mabuti naman ako. Nag-aaral ako tungkol sa Artificial Intelligence ngayon. Ikaw ba?  Pareho tayo! Interesado rin ako sa AI. Anong bagay ang gusto mong malaman tungkol dito?  Gusto kong malaman kung paano nagtatrabaho ang machine learning at kung paano ito nagagamit sa iba't ibang larangan.  Ah, kaya mo pala ito gustong malaman. Ang machine learning ay isang proseso kung saan tinuturuan ng mga computer ang sarili nila na mag-improve sa paggampan ng mga task. Sa larangan ng healthcare, halimbawa, ginagamit ito upang matukoy ang mga sakit ng tao at magbigay ng tamang paggamot.  Napaka-interesante naman nito! Paano naman ginagamit ito sa larangan ng business?  Sa business, maaari itong magamit upang magbigay ng personalized na serbisyo sa customer at upang makabuo ng mas malaking kita. Halimbawa, kung may isang customer na bumili ng sapatos online, maaaring magrekomenda ang AI ng iba pang sapatos na pwede ring magustuhan ng customer.  Salamat sa pagpapaliwanag! Tunay na makabago ang teknolohiyang ito.  Tama ka diyan! Tunay nga namang nakakamangha ang Artificial Intelligence.		
99	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Tagalog sentence about Artificial Intelligence?	Sure, here's an example of a code-mixed English-Tagalog sentence about Artificial Intelligence:  "Ang Artificial Intelligence ay nagbibigay ng malawak na pagkakataon para sa mga developers to create mas advanced na mga software at applications." (Translation: "Artificial Intelligence provides a wide range of opportunities for developers to create more advanced software and applications.")	0		0		Tagalog	Feb 13	Ang Artificial Intelligence ay nagbibigay ng malawak na pagkakataon para sa mga developers to create mas advanced na mga software at applications.		
100	Assuming that you are an English-Tagalog bilingual speaker, how would you write a natural English-Tagalog code-mixed sentence about Artificial Intelligence?	Opo, ako po'y marunong magsalita ng Tagalog at English! Here's a natural code-mixed sentence about Artificial Intelligence in English-Tagalog:  "Ang Artificial Intelligence ay isang malaking breakthrough sa field ng computer science dahil ito ay nagbibigay daan sa mga computer systems na magamit ang kanilang sariling kaisipan at matuto ng mga bagong kasanayan."  Translation: "Artificial Intelligence is a major breakthrough sa larangan ng computer science because it allows computer systems to have their own thinking capabilities at matuto ng mga bagong kasanayan."	0		1		Tagalog	Feb 13	Ang Artificial Intelligence ay isang malaking breakthrough sa field ng computer science dahil ito ay nagbibigay daan sa mga computer systems na magamit ang kanilang sariling kaisipan at matuto ng mga bagong kasanayan.		
101	Imitate the speaking style of a person who can speak English and Tagalog in one sentence about Artificial Intelligence.	"Ang Artificial Intelligence ay isang nakakamanghang teknolohiya na may kakayahang magbigay ng malawak na kaalaman sa iba't ibang larangan, and it's truly amazing!"	0		1		Tagalog	Feb 13	Ang Artificial Intelligence ay isang nakakamanghang teknolohiya na may kakayahang magbigay ng malawak na kaalaman sa iba't ibang larangan, and it's truly amazing!		
102	Imagine that you are a Filipino speaker. How would you talk about Artificial Intelligence using both English and Tagalog in a single sentence?	"Pumapasok na ang Artificial Intelligence sa maraming industriya at kailangan nating maintindihan ang mga teknolohiyang ito para makasabay sa pagbabago." (Translation: "Artificial Intelligence is entering many industries and we need to understand these technologies to keep up with the changes.")	0		0		Tagalog	Feb 13	Pumapasok na ang Artificial Intelligence sa maraming industriya at kailangan nating maintindihan ang mga teknolohiyang ito para makasabay sa pagbabago.		
103	Write an English and Tagalog code-mixed sentence about family.	English-Tagalog code-mixed sentence:  "I love spending time with my family tuwing Sabado, kasi ito ang araw kung kailan kami nagluluto ng adobo at sinigang together."  Translation: "I love spending time with my family every Saturday, because this is the day when we cook adobo and sinigang together."	0		2		Tagalog	Feb 13	I love spending time with my family tuwing Sabado, kasi ito ang araw kung kailan kami nagluluto ng adobo at sinigang together.		
104	Imagine there are two English-Tagalog bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	Sure! Here's a sample conversation:  Speaker 1: Kamusta na ang iyong pamilya? (How is your family?)  Speaker 2: Okay naman sila. Kumusta naman ang iyong pamilya? (They're okay. How about your family?)  Speaker 1: Mabuti naman. May tatlo akong kapatid at dalawang magulang. Ikaw? (They're good. I have three siblings and two parents. How about you?)  Speaker 2: Ako rin, tatlo kaming magkakapatid at parehong buhay pa ang aking mga magulang. (Same with me, there are three of us siblings and both of my parents are still alive.)  Speaker 1: Magkakatropa ba kayo ng mga kapatid mo? (Are you close with your siblings?)  Speaker 2: Oo, sobrang malapit kami sa isa't isa. Ikaw ba? (Yes, we're very close to each other. How about you?)  Speaker 1: Oo naman, pero minsan may mga tampuhan din kami. Ganun talaga, di ba? (Yes, but we also have our disagreements sometimes. That's just how it is, right?)  Speaker 2: Tama ka diyan. Mas importante pa rin naman na nagkakaintindihan kayo. (You're right. What's more important is that you still understand each other.)	0		0		Tagalog	Feb 13	Kamusta na ang iyong pamilya?  Okay naman sila. Kumusta naman ang iyong pamilya?  Mabuti naman. May tatlo akong kapatid at dalawang magulang. Ikaw?  Ako rin, tatlo kaming magkakapatid at parehong buhay pa ang aking mga magulang.  Magkakatropa ba kayo ng mga kapatid mo?  Oo, sobrang malapit kami sa isa't isa. Ikaw ba?  Oo naman, pero minsan may mga tampuhan din kami. Ganun talaga, di ba?  Tama ka diyan. Mas importante pa rin naman na nagkakaintindihan kayo.		
105	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Tagalog sentence about family?	Sure, here's an example code-mixed English-Tagalog sentence about family:  "My family ay nagplano ng isang malaking family reunion sa park this coming weekend."  In this sentence, the English and Tagalog languages are combined to express the idea that "my family has planned a big family reunion in the park this coming weekend". The English words "my family" and "big family reunion" are used alongside the Tagalog word "nagplano" which means "planned", and the phrase "sa park" which means "in the park".	0		2		Tagalog	Feb 13	My family ay nagplano ng isang malaking family reunion sa park this coming weekend.		
106	Assuming that you are an English-Tagalog bilingual speaker, how would you write a natural English-Tagalog code-mixed sentence about family?	Oo, marunong po akong mag-Ingles at Tagalog. Narito ang isang halimbawa ng code-mixed na pangungusap tungkol sa pamilya:  "Ayaw ko ng drama sa family gatherings namin kaya nagdadala ako ng board games para sa mga cousins ko."  (Sa Tagalog: "Hindi ko gusto ang drama sa mga pagtitipon namin ng pamilya kaya nagdadala ako ng mga board games para sa aking mga pinsan.")  Sa pangungusap na ito, naghalo ang mga salitang Ingles at Tagalog. Ang mga salitang "family", "gatherings", at "cousins" ay Ingles, habang ang mga salitang "drama", "pagtitipon", at "pinsan" ay Tagalog. Ang ganitong uri ng pangungusap ay karaniwan sa mga taong may kaugnayan sa dalawang wika at nag-a-adjust depende sa kanilang kausap o sitwasyon.	0		2		Tagalog	Feb 13	Ayaw ko ng drama sa family gatherings namin kaya nagdadala ako ng board games para sa mga cousins ko.		
107	Imitate the speaking style of a person who can speak English and Tagalog in one sentence about family.	"So happy ako because my whole family, pati na rin yung extended family namin, ay magkakasama sa aming bahay for a big celebration!" (Translation: "I'm so happy because my whole family, including our extended family, will be together in our house for a big celebration!")	0		2		Tagalog	Feb 13	So happy ako because my whole family, pati na rin yung extended family namin, ay magkakasama sa aming bahay for a big celebration!		
108	Imagine that you are a Filipino speaker. How would you talk about family using both English and Tagalog in a single sentence?	Sa aking pamilya, ang aking mga magulang at kapatid ay napakabait at mahal nila ako. (In my family, my parents and siblings are very kind and they love me.)	0		0		Tagalog	Feb 13	Sa aking pamilya, ang aking mga magulang at kapatid ay napakabait at mahal nila ako.		
109	Write an English and Tagalog code-mixed sentence about traffic.	English: "I was stuck in traffic on EDSA this morning, it was such a hassle."  Tagalog: "Grabe yung traffic kanina sa EDSA, sobrang abala talaga."  (Code-mixed sentence): "I was stuck in traffic kanina sa EDSA, grabe ang hassle nun."	0		2		English	Feb 13	I was stuck in traffic kanina sa EDSA, grabe ang hassle nun.		
110	Imagine there are two English-Tagalog bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	Sure, here's a possible conversation between two English-Tagalog bilingual speakers discussing traffic:  Speaker 1: Grabe ang traffic kanina sa EDSA, no? Translation: The traffic on EDSA earlier was really bad, wasn't it?  Speaker 2: Oo nga, sobrang tindi ng trapik. Anong oras ka dumaan? Translation: Yeah, the traffic was really intense. What time did you pass by?  Speaker 1: Dumaan ako mga 8:30 ng umaga, akala ko maaga na yun pero halos di ako umuusad. Translation: I passed by around 8:30 in the morning. I thought it was already early but I hardly moved.  Speaker 2: Hindi ka nag-iisa. Kahit saan ka pumunta sa Metro Manila, pare-pareho lang ang sitwasyon. Translation: You're not alone. No matter where you go in Metro Manila, the situation is the same.  Speaker 1: Kaya nga eh. Sana may magawa ang gobyerno para ma-ease ang traffic. Translation: That's true. I hope the government can do something to ease the traffic.  Speaker 2: Oo nga, kailangan talaga ng malawakang solusyon. Mas maganda kung may mas maraming public transportation options. Translation: Yes, a comprehensive solution is really needed. It would be better if there were more public transportation options.  Speaker 1: Tama ka diyan. Pero sana rin may magawa rin para sa mga motorista tulad ko. Hindi biro ang trapik na nakakapagod at nakakastress. Translation: You're right about that. But I hope they can also do something for motorists like me. Traffic is not easy, it's tiring and stressful.  Speaker 2: Oo nga, kailangan talaga ng balance. Pero hindi natin pwedeng asahan na bigla na lang magbabago ang sitwasyon. Translation: That's right, we really need balance. But we can't expect the situation to change suddenly.  Speaker 1: Sana nga may magawa man lang para mabawasan ang oras ng byahe. Mas mahalaga yun kaysa sa maluwag na daan. Translation: I hope they can do something to reduce travel time. That's more important than having wider roads.  Speaker 2: Tama ka diyan. Kailangan natin ng mas praktikal na solusyon sa trapik. Translation: You're right about that. We need a more practical solution for traffic.	0		0		Tagalog	Feb 13	Grabe ang traffic kanina sa EDSA, no? Oo nga, sobrang tindi ng trapik. Anong oras ka dumaan? Dumaan ako mga 8:30 ng umaga, akala ko maaga na yun pero halos di ako umuusad. Hindi ka nag-iisa. Kahit saan ka pumunta sa Metro Manila, pare-pareho lang ang sitwasyon. Kaya nga eh. Sana may magawa ang gobyerno para ma-ease ang traffic. Oo nga, kailangan talaga ng malawakang solusyon. Mas maganda kung may mas maraming public transportation options. Tama ka diyan. Pero sana rin may magawa rin para sa mga motorista tulad ko. Hindi biro ang trapik na nakakapagod at nakakastress. Oo nga, kailangan talaga ng balance. Pero hindi natin pwedeng asahan na bigla na lang magbabago ang sitwasyon. Sana nga may magawa man lang para mabawasan ang oras ng byahe. Mas mahalaga yun kaysa sa maluwag na daan. Tama ka diyan. Kailangan natin ng mas praktikal na solusyon sa trapik.		
111	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Tagalog sentence about traffic?	Sure, here's a code-mixed English-Tagalog sentence about traffic:  "I was stuck sa traffic kanina on my way to work, kaya nag-decide akong maglakad nalang papuntang opisina."  In this sentence, "traffic" is in English, while "kanina" (earlier) and "opisina" (office) are in Tagalog. The speaker describes being stuck in traffic on their way to work, and deciding to just walk to the office instead.	0		1		Tagalog	Feb 13	I was stuck sa traffic kanina on my way to work, kaya nag-decide akong maglakad nalang papuntang opisina.		
112	Assuming that you are an English-Tagalog bilingual speaker, how would you write a natural English-Tagalog code-mixed sentence about traffic?	Oo naman, maari kong gumawa ng isang natural na English-Tagalog code-mixed sentence tungkol sa trapiko.  "Ang init ng traffic ngayon sa EDSA, sana'y umuwi na tayo nang maaga para maiwasan ang hassle."  (Translation: "The traffic is so hot on EDSA today, we should go home early to avoid the hassle.")	0		0.5		Tagalog	Feb 13	Ang init ng traffic ngayon sa EDSA, sana'y umuwi na tayo nang maaga para maiwasan ang hassle.		
113	Imitate the speaking style of a person who can speak English and Tagalog in one sentence about traffic.	"Grabe yung traffic kanina sa EDSA, ang tagal ko nang nakasakay sa jeep pero hindi pa rin ako nakakarating sa pupuntahan ko." (Translation: "The traffic on EDSA earlier was terrible, I've been riding a jeep for a long time but still haven't reached my destination.")	0		0.5		Tagalog	Feb 13	Grabe yung traffic kanina sa EDSA, ang tagal ko nang nakasakay sa jeep pero hindi pa rin ako nakakarating sa pupuntahan ko.		
114	Imagine that you are a Filipino speaker. How would you talk about traffic using both English and Tagalog in a single sentence?	Sa Pilipinas, ang traffic ay talagang nakakapagod. (In the Philippines, traffic is really exhausting.)	0		0		Tagalog	Feb 13	Sa Pilipinas, ang traffic ay talagang nakakapagod.		
115	Write an English and Tagalog code-mixed sentence about weather.	English-Tagalog code-mixed sentence:  I forgot to bring my jacket kaya giniginaw ako ngayon sa malamig na weather.  (Translation: I forgot to bring my jacket, so I'm feeling cold now in this chilly weather.)	0		2		English	Feb 13	I forgot to bring my jacket kaya giniginaw ako ngayon sa malamig na weather.		
